"","","","","classificacoes"
"1",0.289308404647797,0.729514187235194,0.291357118445203,3
"2",0.447413214196307,0.735430431972398,0.313871059080759,3
"3",0.478364181502384,0.740946747174476,0.509285803984626,3
"4",0.248807040142189,0.738937660985536,0.0171054957780139,1
"5",0.610564640945097,0.748539989889902,0.355078969819379,2
"6",0.54604630048388,0.738721041436006,0.328363671549962,2
"7",0.374870562221148,0.749255977619877,0.327088596103516,3
"8",0.383835051502926,0.764574277180433,0.247087592457112,3
"9",0.659037739177081,0.746195640920588,0.167437376740415,2
"10",0.277517305718547,0.790469122879889,0.316024086868754,3
"11",0.449434864946774,0.749634904179547,0.229468814417544,3
"12",0.520479230971696,0.748714199837197,0.323120501449708,3
"13",0.368737195207164,0.736737411310169,0.243898953443039,3
"14",0.751996474868056,0.742316328784036,0.358109969184986,2
"15",0.022407840024351,0.676292003267333,0.256307929396814,1
"16",0.70360047645472,0.745661475427454,0.26820282795142,2
"17",0.611266217644913,0.74541443489774,0.206560711284606,2
"18",0.346208662247824,0.731221482140336,0.125865488528044,1
"19",0.419854074460735,0.762825019357722,0.469383893252266,3
"20",0.419948536516652,0.745369870931438,0.218332910180374,3
"21",0.159955670654832,0.542120162115796,0.274792510703311,1
"22",0.300711096300505,0.726692423745529,0.00631745238528245,1
"23",0.366202524165591,0.730561180937676,0.284432798588358,3
"24",0.70848916720509,0.748949413269731,0.244303360812662,2
"25",0.188782299664821,0.569112888698859,0.267621711242601,1
"26",0.507447957549801,0.755595605060093,0.458973812888296,3
"27",0.35659783722576,0.734527131432688,0.319983849194175,3
"28",0.555560419837428,0.746966731392263,0.365899838204668,2
"29",0.667469549956738,0.747353062553117,0.490268253148268,2
"30",0.283407756809776,0.741917062635783,0.0371505035093927,1
"31",0.616985832084854,0.755196536442264,0.385132740842382,2
"32",0.643985321778545,0.755868743593092,0.360506288831692,2
"33",0.260502787450807,0.711000804938257,0.0157260992423804,1
"34",0.715327016635989,0.7443919239438,0.239306226609067,2
"35",0.530023381761811,0.74975298202885,0.317855014142065,3
"36",0.674031554234405,0.749152143104327,0.188869289680923,2
"37",0.293835594685433,0.735370704395878,0.0273056896410286,1
"38",0.580928499149123,0.74713859370335,0.349287989146301,2
"39",0.59340729194115,0.747603217355483,0.370236137323313,2
"40",0.361364867933563,0.741186545989704,0.355980664131857,3
"41",0.265503902414313,0.710693432948183,0.0299238683463598,1
"42",0.600479376707451,0.745324487806541,0.149250888926413,2
"43",0.349463297413139,0.754410294482457,0.249462137388231,3
"44",0.463963497788429,0.742657618654465,0.273537206629443,3
"45",0.286096727358879,0.777555854542926,0.199765984111368,1
"46",0.731399765213753,0.752594495670182,0.265624050698272,2
"47",0.397608429697816,0.742867597833897,0.187734585244113,3
"48",0.66413841537872,0.752972862993243,0.351488658595216,2
"49",0.350987335405912,0.730880691374973,0.200550854810603,1
"50",0.303275296707883,0.749101029378143,0.221463268992913,1
"51",0.19174316889885,0.496307427856989,0.229661474667353,1
"52",0.364315480388143,0.73868424009425,0.498621156407005,3
"53",0.187117521122509,0.663074489381437,0.116921706955927,1
"54",0.331033084739177,0.748685644653413,0.282169486877192,3
"55",0.518687574098778,0.740013640066735,0.376370233687413,3
"56",0.375980163350434,0.741085940540305,0.238398792049688,3
"57",0.379618463373455,0.750237037578236,0.379259216738992,3
"58",0.66594976446125,0.751850796088853,0.375155188760335,2
"59",0.54328020644959,0.758598921534401,0.318487747482835,2
"60",0.5472812314005,0.734991256433487,0.336882969827802,2
"61",0.353615583726694,0.765213511102654,0.531651532641105,3
"62",0.2329905807846,0.825640502539555,0.0316607291857703,1
"63",0.435240362705912,0.74447722721882,0.256961352186725,3
"64",0.481484248448572,0.752581297692284,0.344228855751897,3
"65",0.141221652439182,0.642035533712336,0.206229976870569,1
"66",0.533711053134116,0.754008307219234,0.288501327056056,2
"67",0.737534190570271,0.750253109550348,0.234032748736781,2
"68",0.584086152092984,0.74690252335461,0.23798165677855,2
"69",0.453240896223081,0.731169567775204,0.551323671796431,3
"70",0.055108019693898,0.663310631405148,0.251141894931521,1
"71",0.282779293474467,0.740349164948938,0.00411876537363676,1
"72",0.349367681995215,0.748736595755655,0.3215469920645,3
"73",0.686596362016007,0.74789596432079,0.329364030228905,2
"74",0.310273691801202,0.748151235222207,0.19794916682488,1
"75",0.386649668657483,0.738323336296792,0.502522655367265,3
"76",0.280756404442768,0.723842280950951,0.0684382184276863,1
"77",0.541290598717276,0.754056902351148,0.424279564778121,3
